,NAME,perwhite,pernonwhite,per.homeowner,per.public,drive_alone,carpool,onePrnt6to17,PovChld6_17,NumStations
62,"Census Tract 1401.07, Suffolk County, Massachusetts",0.303837615,0.696162385,0.677536232,0.135802469,0.344433873,0.05296543,0.358490566,0,0
63,"Census Tract 1402.01, Suffolk County, Massachusetts",0.405636818,0.594363182,0.471134021,0.149017121,0.346057795,0.06956832,0.148241206,0,0
64,"Census Tract 1402.02, Suffolk County, Massachusetts",0.310272537,0.689727463,0.606200833,0.238649593,0.295597484,0.046720575,0.604477612,0.039800995,0
65,"Census Tract 1403, Suffolk County, Massachusetts",0.165092457,0.834907543,0.464259928,0.277777778,0.239856326,0.053611813,0.305810398,0.281345566,3
66,"Census Tract 1404, Suffolk County, Massachusetts",0.098638395,0.901361605,0.600776448,0.280506112,0.278037626,0.034403908,0.522687609,0.041012216,0
67,"Census Tract 2.01, Suffolk County, Massachusetts",0.668627007,0.331372993,0.304155125,0.221376572,0.383623615,0.070572269,0.064516129,0.557184751,1
68,"Census Tract 2.02, Suffolk County, Massachusetts",0.577262957,0.422737043,0.284574468,0.232385661,0.34272749,0.025077621,0.428761651,0.127829561,2
69,"Census Tract 201.01, Suffolk County, Massachusetts",0.858575085,0.141424915,0.402536232,0.135737705,0.098762799,0.033276451,0,0,0
70,"Census Tract 202, Suffolk County, Massachusetts",0.853321576,0.146678424,0.266536965,0.173834478,0.085537919,0,0.288888889,0,1
71,"Census Tract 203.01, Suffolk County, Massachusetts",0.591374893,0.408625107,0.18875502,0.25034965,0.070025619,0.005123826,0,0,2
72,"Census Tract 203.02, Suffolk County, Massachusetts",0.809424084,0.190575916,0.241444867,0.270233196,0.086910995,0,0.12195122,0,0
73,"Census Tract 203.04, Suffolk County, Massachusetts",0.644160584,0.355839416,0.048939641,0.203412073,0.23540146,0,NA,NA,2
74,"Census Tract 203.05, Suffolk County, Massachusetts",0.672235023,0.327764977,0.334170854,0.163625304,0.109735023,0.002880184,0.786624204,0,2
75,"Census Tract 3.01, Suffolk County, Massachusetts",0.664364641,0.335635359,0.351304348,0.285081241,0.39191989,0.031077348,0,0,0
